UID,Time,totalVal
1006001067,2020/1/11,44308
1006001067,2020/1/12,44308
1006001067,2020/1/13,44308
1006001067,2020/1/14,44308
1006001067,2020/1/15,44308
1006001067,2020/1/16,44308
1006001067,2020/1/17,44308
1006001067,2020/1/18,44308
1006001067,2020/1/19,44308
1006001067,2020/1/20,44308
1006001067,2020/1/21,44308
1006001067,2020/1/22,44308
1006001067,2020/1/23,44308
1006001067,2020/1/24,44308
1006001067,2020/1/25,44308
1006001067,2020/1/26,44308
1006001067,2020/1/27,44308
1006001067,2020/1/28,44308
1006001067,2020/1/29,44308
1006001067,2020/1/30,44308
1006001067,2020/1/31,44308
1006001067,2020/2/1,44308
1006001067,2020/2/2,44308
1006001067,2020/2/3,44308
1006001067,2020/2/4,44308
1006001067,2020/2/5,44308
1006001067,2020/2/6,44308
1006001067,2020/2/7,44308
1006001067,2020/2/8,44308
1006001067,2020/2/9,44308
1006001067,2020/2/10,44308
1006001067,2020/2/11,44308
1006001067,2020/2/12,44308
1006001067,2020/2/13,44308
1006001067,2020/2/14,44308
1006001067,2020/2/15,44308
1006001067,2020/2/16,44308
1006001067,2020/2/17,44308
1006001067,2020/2/18,44308
1006001067,2020/2/19,44308
1006001067,2020/2/20,44308
1006001067,2020/2/21,44308
1006001067,2020/2/22,44308
1006001067,2020/2/23,44308
1006001067,2020/2/24,44308
1006001067,2020/2/25,44308
1006001067,2020/2/26,44308
1006001067,2020/2/27,44308
1006001067,2020/2/28,44308
1006001067,2020/2/29,44308
1006001067,2020/3/1,44308
1006001067,2020/3/2,44308
1006001067,2020/3/3,44308
1006001067,2020/3/4,44308
1006001067,2020/3/5,44308
1006001067,2020/3/6,44308
1006001067,2020/3/7,44308
1006001067,2020/3/8,44308
1006001067,2020/3/9,44308
1006001067,2020/3/10,44308
1006001067,2020/3/11,44308
1006001067,2020/3/12,44308
1006001067,2020/3/13,44308
1006001067,2020/3/14,44308
1006001067,2020/3/15,44308
1006001067,2020/3/16,44308
1006001067,2020/3/17,44308
1006001067,2020/3/18,44308
1006001067,2020/3/19,44308
1006001067,2020/3/20,44308
1006001067,2020/3/21,44308
1006001067,2020/3/22,44308
1006001067,2020/3/23,44308
1006001067,2020/3/24,44308
1006001067,2020/3/25,44308
1006001067,2020/3/26,44308
1006001067,2020/3/27,44308
1006001067,2020/3/28,44308
1006001067,2020/3/29,44308
1006001067,2020/3/30,44308
1006001067,2020/3/31,44308
1011910869,2020/1/1,83
1011910869,2020/1/2,83
1011910869,2020/1/3,83
1011910869,2020/1/4,83
1011910869,2020/1/5,83
1011910869,2020/1/6,83
1011910869,2020/1/7,83
1011910869,2020/1/8,83
1011910869,2020/1/9,83
1011910869,2020/1/10,107
1011910869,2020/1/11,107
1011910869,2020/1/12,107
